DEPARTAMENTOS,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020p,2021pr,,,,,,
COLOMBIA,"514,853","549,435","586,457","605,713","612,616","640,151","684,628","711,415","747,939","781,589","804,692","821,489","832,656","854,008","881,224","817,315","907,352",,,,,,
Amazonas,413,433,442,457,470,486,501,520,541,563,593,614,630,648,666,615,677,,,,,,
Antioquia,"73,923","79,224","84,784","86,216","85,660","88,492","95,753","99,629","104,012","111,129","115,446","119,046","120,973","125,173","129,672","121,300","137,977",,,,,,
Arauca,"5,044","5,102","5,538","5,779","5,768","5,284","5,078","4,820","4,672","4,310","4,534","4,272","4,168","4,293","4,596","4,565","4,757",,,,,,
Atlántico,"22,122","23,863","26,106","26,748","26,736","26,633","28,126","30,066","31,664","33,772","35,716","36,347","36,779","37,610","38,690","36,173","40,643",,,,,,
Bogotá D.C.,"135,215","144,141","153,259","158,293","161,609","167,409","176,870","183,104","190,160","198,996","206,478","210,683","214,484","221,652","229,314","214,485","237,244",,,,,,
Bolívar,"18,886","20,196","21,861","22,152","22,107","23,077","25,159","25,784","28,346","27,793","28,105","29,285","30,271","30,804","31,920","28,623","32,610",,,,,,
Boyacá,"13,069","13,694","15,467","16,573","16,726","17,346","18,969","19,556","20,127","20,986","22,165","22,341","22,574","23,237","23,732","21,709","23,518",,,,,,
Caldas,"9,411","10,154","10,745","10,927","10,424","10,675","10,696","10,777","11,462","12,106","12,514","12,821","13,043","13,395","13,798","13,174","14,604",,,,,,
Caquetá,"2,088","2,173","2,336","2,461","2,544","2,573","2,664","2,982","3,156","3,323","3,350","3,427","3,454","3,525","3,596","3,387","3,634",,,,,,
Casanare,"10,004","9,426","8,855","8,981","9,261","9,781","11,276","11,992","12,667","13,430","13,305","12,938","12,960","13,291","13,493","12,245","12,396",,,,,,
Cauca,"8,247","8,749","9,212","9,806","9,840","10,528","10,924","11,911","13,291","13,899","14,622","14,975","14,876","15,139","15,614","14,630","16,019",,,,,,
Cesar,"9,076","9,825","10,446","10,858","11,135","11,559","12,873","13,697","13,588","14,391","14,570","15,676","16,123","16,090","16,646","14,256","14,828",,,,,,
Chocó,"2,531","2,537","2,588","2,732","3,136","3,794","4,031","3,877","3,547","3,472","3,571","3,765","3,482","3,202","3,341","3,264","3,508",,,,,,
Córdoba,"10,343","10,795","11,700","11,089","11,377","11,608","11,547","12,684","13,141","13,684","13,657","13,731","13,920","14,196","14,774","13,915","15,269",,,,,,
Cundinamarca,"29,886","31,300","33,897","36,147","36,256","38,164","41,524","43,036","44,776","46,230","48,055","49,601","50,409","51,551","52,890","49,779","55,575",,,,,,
Guainía,209,236,224,242,246,253,255,273,290,292,307,307,304,313,322,293,334,,,,,,
Guaviare,523,548,596,573,556,548,561,581,609,647,677,676,692,693,715,683,742,,,,,,
Huila,"9,838","9,877","10,427","10,947","11,105","11,724","12,504","12,769","13,310","13,915","13,805","13,636","13,212","13,369","13,754","13,144","14,221",,,,,,
La Guajira,"6,185","6,618","6,975","7,343","7,447","7,538","8,006","8,438","8,480","8,721","8,666","8,891","8,996","8,977","8,955","6,684","8,857",,,,,,
Magdalena,"7,062","7,232","7,596","8,312","8,833","9,138","9,314","9,722","10,239","10,128","10,514","10,869","10,990","11,248","11,525","10,832","12,112",,,,,,
Meta,"9,877","11,050","11,677","13,990","16,992","21,270","25,834","27,811","30,819","29,878","30,712","28,904","29,022","29,404","30,800","28,105","28,788",,,,,,
Nariño,"7,862","8,682","9,037","9,031","9,239","9,259","9,828","10,376","11,037","11,569","12,230","12,760","12,441","12,643","13,064","12,501","13,698",,,,,,
Norte de Santander,"8,050","8,981","9,662","10,288","10,587","10,706","10,947","11,117","11,696","12,253","12,534","13,041","12,940","13,347","13,550","12,804","14,157",,,,,,
Putumayo,"1,492","1,627","1,825","2,034","2,482","2,819","2,927","2,905","3,600","3,780","3,481","3,450","3,386","3,393","3,284","2,830","3,080",,,,,,
Quindío,"4,205","4,736","4,946","4,986","4,933","5,104","5,456","5,869","5,933","6,104","6,381","6,624","6,736","6,793","6,968","6,550","7,338",,,,,,
Risaralda,"9,093","9,899","10,074","10,272","10,336","10,503","10,665","10,978","11,815","12,367","12,656","13,027","13,202","13,551","13,969","13,185","14,649",,,,,,
"San Andrés, Providencia y Santa Catalina (Archipiélago)",813,872,943,942,969,985,"1,037","1,078","1,148","1,199","1,253","1,305","1,343","1,373","1,416","1,139","1,442",,,,,,
Santander,"33,528","35,774","38,353","40,471","40,212","42,786","44,685","45,841","47,680","52,135","51,999","53,175","54,065","54,942","56,515","51,681","56,567",,,,,,
Sucre,"4,033","4,409","4,750","4,910","5,199","5,206","5,553","5,855","6,134","6,469","6,577","6,807","6,982","7,108","7,366","6,928","7,667",,,,,,
Tolima,"12,491","13,278","14,601","14,863","14,817","14,820","15,312","15,830","16,616","17,182","17,381","17,708","17,936","18,120","18,512","17,237","18,828",,,,,,
Valle del Cauca,"51,787","56,386","61,010","62,367","62,817","63,805","66,670","69,201","72,246","75,901","78,074","80,022","81,447","84,172","87,023","81,835","89,872",,,,,,
Vaupés,137,147,169,178,184,190,201,201,217,225,233,236,239,248,257,237,258,,,,,,
Vichada,393,414,453,467,479,483,437,455,488,490,529,529,541,556,581,554,600,,,,,,
